# Performance Summary
Metric,Value
Symbol,510300
Start Date,2021-01-04
End Date,2025-12-31
Adjustment,hfq (back-adjusted)
Initial Price,5.7230
Final Price,5.5100
Trading Days,1212
Total Return,-0.037218
Annualized Return,-0.007855
Annualized Volatility,0.159353
Sharpe Ratio,-0.174801
Max Drawdown,-0.384652
Max Drawdown Start,2021-02-10
Max Drawdown End,2024-02-02
Calmar Ratio,-0.020421
Daily Win Rate,0.483072

# Daily Series
,Close,Cumulative NAV,Drawdown
2023-07-26,4.576,0.7995806395247262,-0.2699425654116133
2023-07-27,4.572,0.7988817053992676,-0.270580727504785
2023-07-28,4.668,0.8156561244102759,-0.2552648372686649
2023-07-31,4.684,0.8184518609121105,-0.25271218889597835
2023-08-01,4.666,0.8153066573475466,-0.25558391831525074
2023-08-02,4.637,0.810239384937971,-0.2602105934907455
2023-08-03,4.673,0.8165297920670991,-0.2544671346522005
2023-08-04,4.694,0.8201991962257572,-0.2511167836630491
2023-08-07,4.663,0.8147824567534525,-0.2560625398851295
2023-08-08,4.648,0.8121614537829824,-0.25845564773452334
2023-08-09,4.64,0.8107635855320651,-0.2597319719208667
2023-08-10,4.645,0.8116372531888885,-0.258934269304402
2023-08-11,4.55,0.7950375677092449,-0.2740906190172291
2023-08-14,4.523,0.7903197623623989,-0.2783982131461379
2023-08-15,4.519,0.7896208282369402,-0.27903637523930946
2023-08-16,4.489,0.7843788222960002,-0.2838225909380969
2023-08-17,4.502,0.7866503582037409,-0.28174856413528904
2023-08-18,4.452,0.7779136816355074,-0.28972559029993483
2023-08-21,4.4,0.7688275380045447,-0.2980216975111665
2023-08-22,4.423,0.7728464092259321,-0.29435226547542936
2023-08-23,4.368,0.7632360650008754,-0.30312699425653966
2023-08-24,4.391,0.7672549362222627,-0.29945756222080266
2023-08-25,4.384,0.7660318015027101,-0.300574345883853
2023-08-28,4.437,0.7752926786650376,-0.29211869814932845
2023-08-29,4.459,0.7791368163550603,-0.28860880663688426
2023-08-30,4.458,0.7789620828236956,-0.2887683471601772
2023-08-31,4.439,0.7756421457277669,-0.2917996171027426
2023-09-01,4.462,0.7796610169491544,-0.2881301850670055
2023-09-04,4.52,0.7897955617683052,-0.2788768347160162
2023-09-05,4.493,0.7850777564214593,-0.2831844288449249
2023-09-06,4.483,0.7833304211078125,-0.2847798340778541
2023-09-07,4.43,0.774069543945485,-0.2932354818123788
2023-09-08,4.409,0.770400139786827,-0.29658583280152995
2023-09-11,4.437,0.7752926786650378,-0.2921186981493282
2023-09-12,4.432,0.7744190110082145,-0.29291640076579273
2023-09-13,4.407,0.7700506727240978,-0.2969049138481157
2023-09-14,4.404,0.7695264721300037,-0.29738353541799456
2023-09-15,4.387,0.7665560020968043,-0.30009572431397413
2023-09-18,4.4,0.7688275380045451,-0.29802169751116614
2023-09-19,4.395,0.7679538703477216,-0.29881940012763086
2023-09-20,4.377,0.7648086667831576,-0.30169112954690325
2023-09-21,4.342,0.7586929931853942,-0.3072750478621553
2023-09-22,4.417,0.7717980080377443,-0.2953095086151867
2023-09-25,4.389,0.7669054691595336,-0.2997766432673883
2023-09-26,4.368,0.7632360650008755,-0.30312699425653966
2023-09-27,4.378,0.7649834003145222,-0.30153158902361044
2023-09-28,4.364,0.7625371308754167,-0.30376515634971135
2023-10-09,4.354,0.7607897955617702,-0.30536056158264036
2023-10-10,4.327,0.756071990214924,-0.30966815571154926
2023-10-11,4.335,0.7574698584658413,-0.308391831525206
2023-10-12,4.371,0.7637602655949695,-0.3026483726866609
2023-10-13,4.336,0.757644591997206,-0.30823229100191296
2023-10-16,4.293,0.7501310501485252,-0.3150925335035084
2023-10-17,4.305,0.7522278525249012,-0.31317804722399345
2023-10-18,4.277,0.7473353136466906,-0.31764518187619506
2023-10-19,4.2,0.7338808317316111,-0.32992980216974954
2023-10-20,4.182,0.7307356281670471,-0.33280153158902204
2023-10-23,4.144,0.7240957539751895,-0.338864071474153
2023-10-24,4.149,0.7249694216320128,-0.3380663688576885
2023-10-25,4.169,0.7284640922593062,-0.33487555839183014
2023-10-26,4.182,0.7307356281670471,-0.33280153158902204
2023-10-27,4.236,0.7401712388607391,-0.32418634333120466
2023-10-30,4.252,0.7429669753625737,-0.321633694958518
2023-10-31,4.244,0.7415691071116564,-0.3229100191448614
2023-11-01,4.242,0.741219640048927,-0.32322910019144724
2023-11-02,4.225,0.7382491700157275,-0.3259412890874269
2023-11-03,4.253,0.7431417088939383,-0.3214741544352253
2023-11-06,4.301,0.7515289183994425,-0.31381620931716514
2023-11-07,4.29,0.749606849554431,-0.3155711550733874
2023-11-08,4.279,0.7476847807094197,-0.31732610082960944
2023-11-09,4.282,0.7482089813035138,-0.31684747925973056
2023-11-10,4.255,0.7434911759566677,-0.32115507338863936
2023-11-13,4.25,0.7426175082998444,-0.32195277600510386
2023-11-14,4.25,0.7426175082998444,-0.32195277600510386
2023-11-15,4.275,0.7469858465839612,-0.3179642629227809
2023-11-16,4.239,0.740695439454833,-0.323707721761326
2023-11-17,4.234,0.7398217717980097,-0.3245054243777906
2023-11-20,4.245,0.741743840643021,-0.32275047862156847
2023-11-21,4.25,0.7426175082998444,-0.32195277600510386
2023-11-22,4.211,0.7358029005766223,-0.3281748564135276
2023-11-23,4.23,0.7391228376725512,-0.3251435864709621
2023-11-24,4.205,0.7347544993884344,-0.32913209955328504
2023-11-27,4.181,0.7305608946356824,-0.33296107211231496
2023-11-28,4.185,0.7312598287611409,-0.3323229100191435
2023-11-29,4.158,0.726542023414295,-0.33663050414805207
2023-11-30,4.162,0.7272409575397536,-0.3359923420548805
2023-12-01,4.148,0.7247946881006482,-0.3382259093809814
2023-12-04,4.124,0.7206010833478961,-0.34205488194001143
2023-12-05,4.058,0.7090686702778279,-0.3525845564773439
2023-12-06,4.063,0.7099423379346513,-0.35178685386087927
2023-12-07,4.054,0.7083697361523694,-0.35322271857051535
2023-12-08,4.061,0.7095928708719221,-0.3521059349074649
2023-12-11,4.085,0.7137864756246742,-0.34827696234843486
2023-12-12,4.093,0.7151843438755916,-0.3470006381620916
2023-12-13,4.035,0.7050497990564408,-0.35625398851308065
2023-12-14,4.019,0.7022540625546061,-0.3588066368857674
2023-12-15,4.012,0.7010309278350533,-0.3599234205488179
2023-12-18,3.998,0.6985846583959481,-0.36215698787491857
2023-12-19,4.0,0.6989341254586773,-0.36183790682833283
2023-12-20,3.969,0.6935173859863725,-0.3667836630504133
2023-12-21,4.0,0.6989341254586772,-0.36183790682833294
2023-12-22,4.006,0.6999825266468652,-0.3608806636885754
2023-12-25,4.015,0.7015551284291471,-0.35944479897893933
2023-12-26,3.995,0.6980604578018538,-0.36263560944479767
2023-12-27,4.005,0.6998077931155003,-0.36104020421186855
2023-12-28,4.089,0.7144854097501326,-0.3476388002552635
2023-12-29,4.099,0.7162327450637793,-0.3460433950223343
2024-01-02,4.053,0.7081950026210044,-0.3533822590938086
2024-01-03,4.043,0.7064476673073578,-0.3549776643267377
2024-01-04,4.013,0.7012056613664176,-0.3597638800255253
2024-01-05,3.996,0.6982351913332182,-0.36247606892150497
2024-01-08,3.949,0.6900227153590788,-0.369974473516272
2024-01-09,3.957,0.6914205836099961,-0.3686981493299286
2024-01-10,3.941,0.6886248471081614,-0.3712507977026154
2024-01-11,3.96,0.6919447842040901,-0.36821952776004996
2024-01-12,3.949,0.6900227153590788,-0.369974473516272
2024-01-15,3.945,0.68932378123362,-0.3706126356094437
2024-01-16,3.967,0.6931679189236428,-0.3671027440969995
2024-01-17,3.892,0.6800629040712927,-0.37906828334396825
2024-01-18,3.937,0.6879259129827029,-0.37188895979578684
2024-01-19,3.944,0.6891490477022556,-0.3707721761327364
2024-01-22,3.875,0.6770924340380934,-0.3817804722399477
2024-01-23,3.897,0.6809365717281161,-0.3782705807275035
2024-01-24,3.948,0.6898479818277142,-0.3701340140395648
2024-01-25,4.004,0.6996330595841356,-0.3611997447351616
2024-01-26,3.998,0.6985846583959477,-0.3621569878749189
2024-01-29,3.968,0.6933426524550077,-0.36694320357370636
2024-01-30,3.912,0.6835575746985862,-0.3758774728781097
2024-01-31,3.891,0.6798881705399282,-0.37922782386726095
2024-02-01,3.887,0.6791892364144696,-0.37986598596043253
2024-02-02,3.857,0.6739472304735296,-0.38465220165922
2024-02-05,3.877,0.6774419011008229,-0.38146139119336164
2024-02-06,3.98,0.6954394548313839,-0.3650287172941912
2024-02-07,4.009,0.7005067272409594,-0.36040204211869653
2024-02-08,4.031,0.704350864930982,-0.35689215060625257
2024-02-19,4.058,0.7090686702778282,-0.35258455647734366
2024-02-20,4.07,0.7111654726542044,-0.3506700701978285
2024-02-21,4.118,0.7195526821597085,-0.3430121250797685
2024-02-22,4.144,0.7240957539751898,-0.33886407147415276
2024-02-23,4.147,0.7246199545692839,-0.338385449904274
2024-02-26,4.112,0.7185042809715204,-0.34396936821952606
2024-02-27,4.153,0.7256683557574718,-0.33742820676451657
2024-02-28,4.117,0.7193779486283437,-0.34317166560306156
2024-02-29,4.172,0.7289882928534005,-0.33439693682195115
2024-03-01,4.199,0.7337060982002467,-0.33008934269304224
2024-03-04,4.196,0.7331818976061527,-0.330567964262921
2024-03-05,4.225,0.7382491700157282,-0.32594128908742637
2024-03-06,4.211,0.7358029005766229,-0.32817485641352706
2024-03-07,4.192,0.7324829634806941,-0.3312061263560926
2024-03-08,4.202,0.7342302987943408,-0.3296107211231635
2024-03-11,4.25,0.7426175082998449,-0.3219527760051035
2024-03-12,4.255,0.7434911759566682,-0.3211550733886388
2024-03-13,4.234,0.7398217717980102,-0.32450542437779006
2024-03-14,4.221,0.7375502358902696,-0.32657945118059795
2024-03-15,4.23,0.7391228376725517,-0.32514358647096153
2024-03-18,4.261,0.7445395771448564,-0.32019783024888115
2024-03-19,4.238,0.7405207059234691,-0.32386726228461826
2024-03-20,4.241,0.7410449065175629,-0.3233886407147396
2024-03-21,4.239,0.7406954394548336,-0.32370772176132545
2024-03-22,4.208,0.7352786999825289,-0.32865347798340583
2024-03-25,4.189,0.7319587628866002,-0.33168474792597125
2024-03-26,4.2,0.7338808317316117,-0.3299298021697491
2024-03-27,4.162,0.7272409575397543,-0.3359923420548798
2024-03-28,4.179,0.7302114275729537,-0.33328015315890025
2024-03-29,4.195,0.7330071640747884,-0.3307275047862136
2024-04-01,4.253,0.7431417088939392,-0.3214741544352244
2024-04-02,4.241,0.741044906517563,-0.3233886407147395
2024-04-03,4.227,0.7385986370784579,-0.3256222080408402
2024-04-08,4.198,0.7335313646688825,-0.3302488832163347
2024-04-09,4.192,0.7324829634806944,-0.33120612635609226
2024-04-10,4.166,0.727939891665213,-0.33535417996170813
2024-04-11,4.163,0.727415691071119,-0.3358328015315869
2024-04-12,4.135,0.7225231521929082,-0.3402999361837886
2024-04-15,4.208,0.7352786999825291,-0.3286534779834056
2024-04-16,4.176,0.7296872269788598,-0.3337587747287789
2024-04-17,4.222,0.7377249694216346,-0.3264199106573047
2024-04-18,4.228,0.7387733706098224,-0.3254626675175474
2024-04-19,4.2,0.7338808317316117,-0.3299298021697491
2024-04-22,4.193,0.7326576970120589,-0.33104658583279956
2024-04-23,4.168,0.7282893587279422,-0.3350350989151224
2024-04-24,4.182,0.7307356281670477,-0.3328015315890215
2024-04-25,4.192,0.7324829634806944,-0.33120612635609226
2024-04-26,4.242,0.7412196400489279,-0.32322910019144646
2024-04-29,4.285,0.7487331818976086,-0.3163688576898511
2024-04-30,4.267,0.7455879783330446,-0.3192405871091236
2024-05-06,4.317,0.754324654901278,-0.3112635609444778
2024-05-07,4.319,0.7546741219640072,-0.3109444798978921
2024-05-08,4.29,0.7496068495544318,-0.3155711550733866
2024-05-09,4.325,0.7557225231521953,-0.30998723675813444
2024-05-10,4.327,0.7560719902149245,-0.3096681557115487
2024-05-13,4.324,0.7555477896208306,-0.3101467772814275
2024-05-14,4.318,0.7544993884326425,-0.311104020421185
2024-05-15,4.292,0.7499563166171612,-0.3152520740268008
2024-05-16,4.304,0.7520531189935373,-0.3133375877472857
2024-05-17,4.345,0.7592171937794887,-0.3067964262922761
2024-05-20,4.353,0.7606150620304062,-0.3055201021059327
2024-05-21,4.341,0.7585182596540302,-0.3074345883854477
2024-05-22,4.349,0.7599161279049476,-0.3061582641991043
2024-05-23,4.312,0.7534509872444548,-0.3120612635609422
2024-05-24,4.271,0.7462869124585033,-0.3186024250159518
2024-05-27,4.301,0.7515289183994435,-0.31381620931716425
2024-05-28,4.278,0.747510047178056,-0.31748564135290136
2024-05-29,4.279,0.7476847807094208,-0.31732610082960844
2024-05-30,4.265,0.7452385112703154,-0.31955966815570924
2024-05-31,4.251,0.7427922418312102,-0.32179323548180994
2024-06-03,4.256,0.7436659094880335,-0.32099553286534543
2024-06-04,4.281,0.74803424777215,-0.3170070197830227
2024-06-05,4.268,0.7457627118644093,-0.3190810465858306
2024-06-06,4.268,0.7457627118644093,-0.3190810465858306
2024-06-07,4.245,0.741743840643022,-0.3227504786215676
2024-06-11,4.22,0.7373755023589053,-0.32673899170389054
2024-06-12,4.216,0.7366765682334466,-0.3273771537970621
2024-06-13,4.203,0.734405032325706,-0.32945118059987
2024-06-14,4.223,0.7378997029529992,-0.32626037013401177
2024-06-17,4.213,0.7361523676393525,-0.327855775366941
2024-06-18,4.224,0.738074436484364,-0.32610082961071885
2024-06-19,4.214,0.7363271011707173,-0.32769623484364796
2024-06-20,4.191,0.7323082299493299,-0.33136566687938507
2024-06-21,4.185,0.7312598287611418,-0.3323229100191426
2024-06-24,4.168,0.7282893587279425,-0.3350350989151222
2024-06-25,4.147,0.7246199545692845,-0.3383854499042733
2024-06-26,4.168,0.7282893587279425,-0.3350350989151222
2024-06-27,4.149,0.7249694216320138,-0.3380663688576875
2024-06-28,4.156,0.7261925563515664,-0.33694958519463725
2024-07-01,4.17,0.7286388257906719,-0.33471601786853633
2024-07-02,4.165,0.7277651581338485,-0.33551372048500094
2024-07-03,4.159,0.7267167569456604,-0.3364709636247585
2024-07-04,4.144,0.7240957539751904,-0.3388640714741522
2024-07-05,4.127,0.721125283941991,-0.3415762603701318
2024-07-08,4.103,0.716931679189239,-0.3454052329291618
2024-07-09,4.14,0.7233968198497317,-0.3395022335673239
2024-07-10,4.132,0.7219989515988143,-0.3407785577536673
2024-07-11,4.178,0.7300366940415892,-0.33343969368219295
2024-07-12,4.188,0.7317840293552359,-0.33184428844926384
2024-07-15,4.195,0.7330071640747887,-0.33072750478621327
2024-07-16,4.22,0.7373755023589054,-0.3267389917038904
2024-07-17,4.225,0.7382491700157288,-0.3259412890874258
2024-07-18,4.246,0.741918574174387,-0.32259093809827444
2024-07-19,4.269,0.7459374453957743,-0.31892150606253733
2024-07-22,4.24,0.740870172986199,-0.323548181238032
2024-07-23,4.17,0.7286388257906721,-0.3347160178685361
2024-07-24,4.148,0.7247946881006493,-0.3382259093809803
2024-07-25,4.128,0.721300017473356,-0.3414167198468385
2024-07-26,4.143,0.723921020443826,-0.3390236119974449
2024-07-29,4.123,0.7204263498165326,-0.34221442246330314
2024-07-30,4.1,0.7164074785951452,-0.34588385449904036
2024-07-31,4.177,0.7298619605102248,-0.33359923420548565
2024-08-01,4.152,0.7254936222261081,-0.3375877472878085
2024-08-02,4.116,0.7192032150969799,-0.3433312061263536
2024-08-05,4.077,0.7123886073737579,-0.34955328653477735
2024-08-06,4.077,0.7123886073737579,-0.34955328653477735
2024-08-07,4.07,0.7111654726542053,-0.3506700701978277
2024-08-08,4.074,0.7118644067796638,-0.3500319081046561
2024-08-09,4.062,0.7097676044032878,-0.3519463943841711
2024-08-12,4.058,0.709068670277829,-0.3525845564773429
2024-08-13,4.063,0.7099423379346524,-0.35178685386087827
2024-08-14,4.039,0.7057487331819003,-0.3556158264199083
2024-08-15,4.077,0.7123886073737579,-0.34955328653477735
2024-08-16,4.079,0.7127380744364872,-0.3492342054881915
2024-08-19,4.088,0.7143106762187693,-0.3477983407785552
2024-08-20,4.072,0.7115149397169346,-0.35035098915124185
